date,flight_number,carrier_code,airline,origin_city,origin_airport_code,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status_code,status,final_status,delay_departure_min,delay_arrival_min,canceled,diverted
2026-07-24,540,QR,Qatar Airways,Doha,DOH,2026-07-24T18:55:00.000,2026-07-24T18:52:00.000,2026-07-25T02:30:00.000,2026-07-25T02:27:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,220,EY,Etihad Airways,Abu Dhabi,AUH,2026-07-24T20:30:00.000,2026-07-24T20:38:00.000,2026-07-25T02:55:00.000,2026-07-25T02:54:00.000,L,Arrived,On Time,8.0,0.0,False,False
2026-07-24,1135,AKJ,Akasa Air,Mumbai,BOM,2026-07-24T00:35:00.000,2026-07-24T00:25:00.000,2026-07-24T03:20:00.000,2026-07-24T03:12:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,185,AI,Air India,Delhi,DEL,2026-07-24T05:55:00.000,2026-07-24T06:01:00.000,2026-07-24T07:35:00.000,2026-07-24T07:52:00.000,L,Arrived,Delayed,6.0,17.0,False,False
2026-07-24,9049,YG*,YTO Cargo Airlines,Hangzhou,HGH,2026-07-24T02:05:00.000,,2026-07-24T04:40:00.000,,U,Unknown,Unknown,0.0,0.0,False,False
2026-07-24,2702,AI,Air India,Delhi,DEL,2026-07-24T02:30:00.000,2026-07-24T02:38:00.000,2026-07-24T04:50:00.000,2026-07-24T04:56:00.000,L,Arrived,On Time,8.0,6.0,False,False
2026-07-24,1058,6E,IndiGo,Bangkok,BKK,2026-07-24T04:45:00.000,2026-07-24T04:29:00.000,2026-07-24T05:55:00.000,2026-07-24T05:34:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,9632,6E,IndiGo,Kunming,KMG,2026-07-24T06:50:00.000,2026-07-24T07:16:00.000,2026-07-24T06:55:00.000,2026-07-24T07:07:00.000,L,Arrived,On Time,26.0,12.0,False,False
2026-07-24,5191,6E,IndiGo,Delhi,DEL,2026-07-24T04:45:00.000,2026-07-24T04:34:00.000,2026-07-24T07:00:00.000,2026-07-24T06:52:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1924,6E,IndiGo,Guangzhou,CAN,2026-07-24T05:15:00.000,2026-07-24T04:49:00.000,2026-07-24T07:30:00.000,2026-07-24T06:28:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,308,BZ*,Blue Dart Aviation,Mumbai,BOM,2026-07-24T09:15:00.000,,2026-07-24T10:30:00.000,,U,Unknown,Unknown,0.0,0.0,False,False
2026-07-24,700,B3*,Bhutan Airlines,Paro,PBH,2026-07-24T08:20:00.000,2026-07-24T07:56:00.000,2026-07-24T12:30:00.000,2026-07-24T12:08:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,987,6E,IndiGo,Chennai,MAA,2026-07-24T05:25:00.000,2026-07-24T05:09:00.000,2026-07-24T07:45:00.000,2026-07-24T07:21:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6494,6E,IndiGo,Hyderabad,HYD,2026-07-24T05:55:00.000,2026-07-24T05:49:00.000,2026-07-24T08:05:00.000,2026-07-24T07:52:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1801,AKJ,Akasa Air,Delhi,DEL,2026-07-24T05:55:00.000,2026-07-24T05:48:00.000,2026-07-24T08:05:00.000,2026-07-24T08:01:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,570,EK,Emirates,Dubai,DXB,2026-07-24T02:05:00.000,2026-07-24T02:02:00.000,2026-07-24T08:10:00.000,2026-07-24T08:06:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6359,6E,IndiGo,Pune,PNQ,2026-07-24T05:35:00.000,2026-07-24T05:28:00.000,2026-07-24T08:10:00.000,2026-07-24T07:59:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6367,6E,IndiGo,Mumbai,BOM,2026-07-24T05:30:00.000,2026-07-24T05:17:00.000,2026-07-24T08:15:00.000,2026-07-24T08:00:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,102,BZ*,Blue Dart Aviation,Delhi,DEL,2026-07-24T22:40:00.000,2026-07-24T22:40:00.000,2026-07-24T23:45:00.000,2026-07-24T23:41:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,2121,6E,IndiGo,Mumbai,NMI,2026-07-24T06:05:00.000,2026-07-24T05:50:00.000,2026-07-24T08:40:00.000,2026-07-24T08:20:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1561,AKJ,Akasa Air,Bengaluru,BLR,2026-07-24T06:15:00.000,2026-07-24T06:06:00.000,2026-07-24T08:50:00.000,2026-07-24T08:40:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,812,6E,IndiGo,Nagpur,NAG,2026-07-24T07:05:00.000,2026-07-24T06:54:00.000,2026-07-24T08:50:00.000,2026-07-24T08:36:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,201,6E,IndiGo,Guwahati,GAU,2026-07-24T09:45:00.000,2026-07-24T09:45:00.000,2026-07-24T12:00:00.000,2026-07-24T11:53:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6439,6E,IndiGo,Bengaluru,BLR,2026-07-24T06:30:00.000,2026-07-24T06:21:00.000,2026-07-24T09:10:00.000,2026-07-24T08:50:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,7419,6E,IndiGo,Agartala,IXA,2026-07-24T08:25:00.000,2026-07-24T08:25:00.000,2026-07-24T09:35:00.000,2026-07-24T09:36:00.000,L,Arrived,On Time,0.0,1.0,False,False
2026-07-24,340,6E,IndiGo,Delhi,DEL,2026-07-24T07:20:00.000,2026-07-24T07:12:00.000,2026-07-24T09:40:00.000,2026-07-24T09:33:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,2771,AI,Air India,Mumbai,BOM,2026-07-24T06:55:00.000,2026-07-24T06:48:00.000,2026-07-24T09:45:00.000,2026-07-24T09:42:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,7562,6E,IndiGo,Ranchi,IXR,2026-07-24T08:30:00.000,2026-07-24T08:23:00.000,2026-07-24T09:45:00.000,2026-07-24T09:28:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,2705,AI,Air India,Delhi,DEL,2026-07-24T07:30:00.000,2026-07-24T07:29:00.000,2026-07-24T09:50:00.000,2026-07-24T09:48:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,488,6E,IndiGo,Silchar,IXS,2026-07-24T08:55:00.000,2026-07-24T08:48:00.000,2026-07-24T09:55:00.000,2026-07-24T09:52:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1131,IX,Air India Express,Bengaluru,BLR,2026-07-24T07:30:00.000,2026-07-24T07:21:00.000,2026-07-24T10:00:00.000,2026-07-24T09:44:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,9106,6E,IndiGo,Delhi,DEL,2026-07-24T08:00:00.000,2026-07-24T09:13:00.000,2026-07-24T10:10:00.000,2026-07-24T11:36:00.000,L,Arrived,Delayed,73.0,86.0,False,False
2026-07-24,664,6E,IndiGo,Hyderabad,HYD,2026-07-24T08:15:00.000,2026-07-24T08:04:00.000,2026-07-24T10:25:00.000,2026-07-24T10:26:00.000,L,Arrived,On Time,0.0,1.0,False,False
2026-07-24,5329,6E,IndiGo,Mumbai,BOM,2026-07-24T07:45:00.000,2026-07-24T07:36:00.000,2026-07-24T10:30:00.000,2026-07-24T10:14:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,201,BS*,US-Bangla Airlines,Dhaka,DAC,2026-07-24T10:00:00.000,2026-07-24T10:00:00.000,2026-07-24T10:30:00.000,2026-07-24T10:36:00.000,L,Arrived,On Time,0.0,6.0,False,False
2026-07-24,442,6E,IndiGo,Bengaluru,BLR,2026-07-24T08:10:00.000,2026-07-24T07:58:00.000,2026-07-24T10:35:00.000,2026-07-24T10:35:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,621,O2G,Star Air,Purnea,PXN,2026-07-24T09:25:00.000,2026-07-24T09:32:00.000,2026-07-24T10:35:00.000,2026-07-24T10:12:00.000,L,Arrived,On Time,7.0,0.0,False,False
2026-07-24,321,6E,IndiGo,Chennai,MAA,2026-07-24T08:20:00.000,2026-07-24T08:13:00.000,2026-07-24T10:40:00.000,2026-07-24T10:29:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1518,IX,Air India Express,Guwahati,GAU,2026-07-24T09:00:00.000,2026-07-24T13:01:00.000,2026-07-24T10:40:00.000,2026-07-24T14:05:00.000,L,Arrived,Delayed,241.0,205.0,False,False
2026-07-24,513,6E,IndiGo,Delhi,DEL,2026-07-24T08:30:00.000,2026-07-24T08:23:00.000,2026-07-24T10:45:00.000,2026-07-24T10:31:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6793,6E,IndiGo,Bhubaneswar,BBI,2026-07-24T09:45:00.000,2026-07-24T09:45:00.000,2026-07-24T10:50:00.000,2026-07-24T10:53:00.000,L,Arrived,On Time,0.0,3.0,False,False
2026-07-24,6786,6E,IndiGo,Bagdogra,IXB,2026-07-24T09:45:00.000,2026-07-24T09:35:00.000,2026-07-24T10:50:00.000,2026-07-24T10:42:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,505,6E,IndiGo,Lucknow,LKO,2026-07-24T09:20:00.000,2026-07-24T09:27:00.000,2026-07-24T11:05:00.000,2026-07-24T11:00:00.000,L,Arrived,On Time,7.0,0.0,False,False
2026-07-24,1521,IX,Air India Express,Port Blair,IXZ,2026-07-24T11:55:00.000,2026-07-24T11:54:00.000,2026-07-24T12:55:00.000,2026-07-24T13:02:00.000,L,Arrived,On Time,0.0,7.0,False,False
2026-07-24,1791,AI,Air India,Delhi,DEL,2026-07-24T09:30:00.000,2026-07-24T10:00:00.000,2026-07-24T11:50:00.000,2026-07-24T12:14:00.000,L,Arrived,Delayed,30.0,24.0,False,False
2026-07-24,491,6E,IndiGo,Agartala,IXA,2026-07-24T10:55:00.000,2026-07-24T10:43:00.000,2026-07-24T11:50:00.000,2026-07-24T11:35:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,751,6E,IndiGo,Ahmedabad,AMD,2026-07-24T12:40:00.000,2026-07-24T12:38:00.000,2026-07-24T13:45:00.000,2026-07-24T13:39:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,207,6E,IndiGo,Jaipur,JAI,2026-07-24T12:50:00.000,2026-07-24T12:41:00.000,2026-07-24T13:55:00.000,2026-07-24T13:38:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1256,IX,Air India Express,Chennai,MAA,2026-07-24T09:40:00.000,2026-07-24T09:28:00.000,2026-07-24T12:10:00.000,2026-07-24T11:45:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6310,6E,IndiGo,Gorakhpur,GOP,2026-07-24T11:00:00.000,2026-07-24T10:40:00.000,2026-07-24T12:25:00.000,2026-07-24T11:59:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,894,6E,IndiGo,Delhi,DEL,2026-07-24T10:15:00.000,2026-07-24T10:16:00.000,2026-07-24T12:30:00.000,2026-07-24T12:25:00.000,L,Arrived,On Time,1.0,0.0,False,False
2026-07-24,5165,6E,IndiGo,Mumbai,BOM,2026-07-24T10:05:00.000,2026-07-24T09:56:00.000,2026-07-24T12:55:00.000,2026-07-24T12:35:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6097,6E,IndiGo,Agartala,IXA,2026-07-24T11:55:00.000,2026-07-24T12:06:00.000,2026-07-24T12:55:00.000,2026-07-24T12:57:00.000,L,Arrived,On Time,11.0,2.0,False,False
2026-07-24,7925,6E,IndiGo,Purnea,PXN,2026-07-24T11:55:00.000,2026-07-24T11:49:00.000,2026-07-24T12:55:00.000,2026-07-24T12:52:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,433,6E,IndiGo,Aizawl,AJL,2026-07-24T11:55:00.000,2026-07-24T12:04:00.000,2026-07-24T13:00:00.000,2026-07-24T12:58:00.000,L,Arrived,On Time,9.0,0.0,False,False
2026-07-24,1632,6E,IndiGo,Hanoi,HAN,2026-07-24T11:50:00.000,2026-07-24T12:03:00.000,2026-07-24T13:10:00.000,2026-07-24T13:21:00.000,L,Arrived,On Time,13.0,11.0,False,False
2026-07-24,210,KB,Drukair,Gelephu,GLU,2026-07-24T12:10:00.000,2026-07-24T12:01:00.000,2026-07-24T13:10:00.000,2026-07-24T12:46:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6807,6E,IndiGo,Imphal,IMF,2026-07-24T12:00:00.000,2026-07-24T12:05:00.000,2026-07-24T13:10:00.000,2026-07-24T13:14:00.000,L,Arrived,On Time,5.0,4.0,False,False
2026-07-24,2516,6E,IndiGo,Silchar,IXS,2026-07-24T12:05:00.000,2026-07-24T12:30:00.000,2026-07-24T13:15:00.000,2026-07-24T13:30:00.000,L,Arrived,Delayed,25.0,15.0,False,False
2026-07-24,6155,6E,IndiGo,Dimapur,DMU,2026-07-24T12:00:00.000,2026-07-24T11:59:00.000,2026-07-24T13:20:00.000,2026-07-24T13:21:00.000,L,Arrived,On Time,0.0,1.0,False,False
2026-07-24,6894,6E,IndiGo,Dibrugarh,DIB,2026-07-24T11:50:00.000,2026-07-24T11:43:00.000,2026-07-24T13:30:00.000,2026-07-24T13:17:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,9269,6E,IndiGo,Yangon,RGN,2026-07-24T12:40:00.000,2026-07-24T19:11:00.000,2026-07-24T13:35:00.000,2026-07-24T20:12:00.000,L,Arrived,Delayed,391.0,397.0,False,False
2026-07-24,663,6E,IndiGo,Patna,PAT,2026-07-24T12:40:00.000,2026-07-24T12:34:00.000,2026-07-24T13:45:00.000,2026-07-24T13:36:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1494,6E,IndiGo,Phuket,HKT,2026-07-24T12:25:00.000,2026-07-24T12:18:00.000,2026-07-24T13:55:00.000,2026-07-24T13:56:00.000,L,Arrived,On Time,0.0,1.0,False,False
2026-07-24,6396,6E,IndiGo,Port Blair,IXZ,2026-07-24T11:55:00.000,2026-07-24T11:36:00.000,2026-07-24T14:05:00.000,2026-07-24T13:56:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6326,6E,IndiGo,Chennai,MAA,2026-07-24T11:45:00.000,2026-07-24T11:34:00.000,2026-07-24T14:10:00.000,2026-07-24T13:47:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,376,6E,IndiGo,Hyderabad,HYD,2026-07-24T11:55:00.000,2026-07-24T11:41:00.000,2026-07-24T14:10:00.000,2026-07-24T13:40:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1537,IX,Air India Express,Bengaluru,BLR,2026-07-24T11:45:00.000,2026-07-24T11:54:00.000,2026-07-24T14:25:00.000,2026-07-24T14:16:00.000,L,Arrived,On Time,9.0,0.0,False,False
2026-07-24,6729,6E,IndiGo,Guwahati,GAU,2026-07-24T13:15:00.000,2026-07-24T13:35:00.000,2026-07-24T14:30:00.000,2026-07-24T14:48:00.000,L,Arrived,Delayed,20.0,18.0,False,False
2026-07-24,1522,IX,Air India Express,Agartala,IXA,2026-07-24T13:25:00.000,2026-07-24T13:34:00.000,2026-07-24T14:30:00.000,2026-07-24T14:36:00.000,L,Arrived,On Time,9.0,6.0,False,False
2026-07-24,701,B3*,Bhutan Airlines,Bangkok,BKK,2026-07-24T15:20:00.000,2026-07-24T14:49:00.000,2026-07-24T17:00:00.000,2026-07-24T16:42:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,897,6E,IndiGo,Delhi,DEL,2026-07-24T12:45:00.000,2026-07-24T12:45:00.000,2026-07-24T15:05:00.000,2026-07-24T15:03:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6153,6E,IndiGo,Jorhat,JRH,2026-07-24T13:30:00.000,2026-07-24T13:24:00.000,2026-07-24T15:10:00.000,2026-07-24T14:47:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6344,6E,IndiGo,Dehra Dun,DED,2026-07-24T16:15:00.000,2026-07-24T16:10:00.000,2026-07-24T17:30:00.000,2026-07-24T17:31:00.000,L,Arrived,On Time,0.0,1.0,False,False
2026-07-24,6568,6E,IndiGo,Jaipur,JAI,2026-07-24T12:55:00.000,2026-07-24T12:46:00.000,2026-07-24T15:20:00.000,2026-07-24T15:00:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,2767,AI,Air India,Delhi,DEL,2026-07-24T13:00:00.000,2026-07-24T13:15:00.000,2026-07-24T15:20:00.000,2026-07-24T15:33:00.000,L,Arrived,On Time,15.0,13.0,False,False
2026-07-24,394,6E,IndiGo,Agartala,IXA,2026-07-24T16:05:00.000,2026-07-24T15:52:00.000,2026-07-24T18:30:00.000,2026-07-24T18:09:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,292,6E,IndiGo,Bagdogra,IXB,2026-07-24T16:05:00.000,2026-07-24T16:05:00.000,2026-07-24T18:40:00.000,2026-07-24T18:31:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,5239,6E,IndiGo,Mumbai,BOM,2026-07-24T12:45:00.000,2026-07-24T12:39:00.000,2026-07-24T15:30:00.000,2026-07-24T15:16:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1926,AKJ,Akasa Air,Port Blair,IXZ,2026-07-24T13:50:00.000,2026-07-24T13:46:00.000,2026-07-24T16:05:00.000,2026-07-24T16:18:00.000,L,Arrived,On Time,0.0,13.0,False,False
2026-07-24,172,6E,IndiGo,Bengaluru,BLR,2026-07-24T13:40:00.000,2026-07-24T13:32:00.000,2026-07-24T16:20:00.000,2026-07-24T16:18:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6907,6E,IndiGo,Hyderabad,HYD,2026-07-24T14:00:00.000,2026-07-24T13:54:00.000,2026-07-24T16:20:00.000,2026-07-24T15:58:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,5312,6E,IndiGo,Itanagar,HGI,2026-07-24T14:35:00.000,2026-07-24T14:18:00.000,2026-07-24T16:20:00.000,2026-07-24T15:42:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,9205,6E,IndiGo,Imphal,IMF,2026-07-24T15:10:00.000,2026-07-24T14:40:00.000,2026-07-24T16:20:00.000,2026-07-24T15:50:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,4174,AI,Air India,San Francisco,SFO,2026-07-24T10:30:00.000,2026-07-24T10:32:00.000,2026-07-25T16:35:00.000,2026-07-25T15:42:00.000,L,Arrived,On Time,2.0,0.0,False,False
2026-07-24,910,6E,IndiGo,Delhi,DEL,2026-07-24T14:25:00.000,2026-07-24T14:27:00.000,2026-07-24T16:45:00.000,2026-07-24T16:38:00.000,L,Arrived,On Time,2.0,0.0,False,False
2026-07-24,2773,AI,Air India,Mumbai,BOM,2026-07-24T14:05:00.000,2026-07-24T14:07:00.000,2026-07-24T16:55:00.000,2026-07-24T16:47:00.000,L,Arrived,On Time,2.0,0.0,False,False
2026-07-24,6101,6E,IndiGo,Bhubaneswar,BBI,2026-07-24T16:00:00.000,2026-07-24T15:51:00.000,2026-07-24T17:05:00.000,2026-07-24T16:50:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,2589,6E,IndiGo,Ghaziabad,HDO,2026-07-24T15:05:00.000,2026-07-24T14:42:00.000,2026-07-24T17:20:00.000,2026-07-24T17:08:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,7309,6E,IndiGo,Umroi,SHL,2026-07-24T15:50:00.000,2026-07-24T15:44:00.000,2026-07-24T17:25:00.000,2026-07-24T17:16:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,7088,6E,IndiGo,Jharsuguda,VEJH,2026-07-24T16:00:00.000,2026-07-24T16:01:00.000,2026-07-24T17:30:00.000,2026-07-24T17:29:00.000,L,Arrived,On Time,1.0,0.0,False,False
2026-07-24,6572,6E,IndiGo,Bengaluru,BLR,2026-07-24T15:05:00.000,2026-07-24T14:58:00.000,2026-07-24T17:45:00.000,2026-07-24T17:24:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1996,IX,Air India Express,Agartala,IXA,2026-07-24T18:20:00.000,2026-07-24T18:54:00.000,2026-07-24T19:25:00.000,2026-07-24T20:08:00.000,L,Arrived,Delayed,34.0,43.0,False,False
2026-07-24,395,BG,Biman Bangladesh Airlines,Dhaka,DAC,2026-07-24T17:15:00.000,2026-07-24T17:46:00.000,2026-07-24T17:45:00.000,2026-07-24T18:06:00.000,L,Arrived,Delayed,31.0,21.0,False,False
2026-07-24,5354,6E,IndiGo,Mumbai,BOM,2026-07-24T15:15:00.000,2026-07-24T15:05:00.000,2026-07-24T18:00:00.000,2026-07-24T17:52:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6102,6E,IndiGo,Dibrugarh,DIB,2026-07-24T16:15:00.000,2026-07-24T16:03:00.000,2026-07-24T18:00:00.000,2026-07-24T17:32:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,162,6E,IndiGo,Goa,GOI,2026-07-24T15:10:00.000,2026-07-24T15:15:00.000,2026-07-24T18:10:00.000,2026-07-24T17:57:00.000,L,Arrived,On Time,5.0,0.0,False,False
2026-07-24,1249,IX,Air India Express,Bagdogra,IXB,2026-07-24T17:05:00.000,2026-07-24T16:45:00.000,2026-07-24T18:10:00.000,2026-07-24T18:05:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1106,6E,IndiGo,Dhaka,DAC,2026-07-24T17:35:00.000,2026-07-24T17:34:00.000,2026-07-24T18:10:00.000,2026-07-24T17:59:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6415,6E,IndiGo,Delhi,DEL,2026-07-24T16:00:00.000,2026-07-24T15:59:00.000,2026-07-24T18:15:00.000,2026-07-24T18:12:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,213,6E,IndiGo,Guwahati,GAU,2026-07-24T16:55:00.000,2026-07-24T17:31:00.000,2026-07-24T18:20:00.000,2026-07-24T18:51:00.000,L,Arrived,Delayed,36.0,31.0,False,False
2026-07-24,1733,AI,Air India,Delhi,DEL,2026-07-24T16:15:00.000,2026-07-24T16:27:00.000,2026-07-24T18:35:00.000,2026-07-24T18:48:00.000,L,Arrived,On Time,12.0,13.0,False,False
2026-07-24,7326,6E,IndiGo,Ranchi,IXR,2026-07-24T17:50:00.000,2026-07-24T18:03:00.000,2026-07-24T19:05:00.000,2026-07-24T19:08:00.000,L,Arrived,On Time,13.0,3.0,False,False
2026-07-24,572,EK,Emirates,Dubai,DXB,2026-07-24T13:05:00.000,2026-07-24T13:04:00.000,2026-07-24T19:15:00.000,2026-07-24T19:07:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,6135,6E,IndiGo,Bagdogra,IXB,2026-07-24T18:15:00.000,2026-07-24T18:04:00.000,2026-07-24T19:20:00.000,2026-07-24T19:06:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,1803,AKJ,Akasa Air,Delhi,DEL,2026-07-24T17:10:00.000,2026-07-24T17:14:00.000,2026-07-24T19:25:00.000,2026-07-24T19:35:00.000,L,Arrived,On Time,4.0,10.0,False,False
2026-07-24,1563,AKJ,Akasa Air,Pune,PNQ,2026-07-24T16:50:00.000,2026-07-24T16:59:00.000,2026-07-24T19:35:00.000,2026-07-24T19:38:00.000,L,Arrived,On Time,9.0,3.0,False,False
2026-07-24,6069,6E,IndiGo,Agartala,IXA,2026-07-24T18:40:00.000,2026-07-24T18:23:00.000,2026-07-24T19:40:00.000,2026-07-24T19:21:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,223,6E,IndiGo,Bengaluru,BLR,2026-07-24T17:05:00.000,2026-07-24T17:01:00.000,2026-07-24T19:55:00.000,2026-07-24T19:32:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,283,6E,IndiGo,Hyderabad,HYD,2026-07-24T17:55:00.000,2026-07-24T17:55:00.000,2026-07-24T20:05:00.000,2026-07-24T20:10:00.000,L,Arrived,On Time,0.0,5.0,False,False
2026-07-24,6556,6E,IndiGo,Ahmedabad,AMD,2026-07-24T17:25:00.000,2026-07-24T17:32:00.000,2026-07-24T20:10:00.000,2026-07-24T20:05:00.000,L,Arrived,On Time,7.0,0.0,False,False
2026-07-24,6561,6E,IndiGo,Pune,PNQ,2026-07-24T17:40:00.000,2026-07-24T18:09:00.000,2026-07-24T20:10:00.000,2026-07-24T20:42:00.000,L,Arrived,Delayed,29.0,32.0,False,False
2026-07-24,905,SG,SpiceJet,Delhi,DEL,2026-07-24T18:00:00.000,,2026-07-24T20:10:00.000,,C,Cancelled,Cancelled,0.0,0.0,True,False
